Player Name,Team,Opponent,Matchup,Prop Category,Prop Line,GAME_DATE
Paolo Banchero,ORL,DAL,ORL vs. DAL,PTS,24.5,2026-03-05
Desmond Bane,ORL,DAL,ORL vs. DAL,PTS,22.5,2026-03-05
Naji Marshall,DAL,ORL,DAL vs. ORL,PTS,16.5,2026-03-05
Cooper Flagg,DAL,ORL,DAL vs. ORL,PTS,19.5,2026-03-05
Max Christie,DAL,ORL,DAL vs. ORL,PTS,13.5,2026-03-05
P.J. Washington,DAL,ORL,DAL vs. ORL,PTS,13.5,2026-03-05
Anthony Black,ORL,DAL,ORL vs. DAL,PTS,14.5,2026-03-05
Brandon Williams,DAL,ORL,DAL vs. ORL,PTS,12.5,2026-03-05
Jalen Suggs,ORL,DAL,ORL vs. DAL,PTS,12.5,2026-03-05
Wendell Carter,ORL,DAL,ORL vs. DAL,PTS,11.5,2026-03-05
Daniel Gafford,DAL,ORL,DAL vs. ORL,PTS,8.5,2026-03-05
Tristan Silva,ORL,DAL,ORL vs. DAL,PTS,9.5,2026-03-05
Keyonte George,UTA,WAS,UTA vs. WAS,PTS,25.5,2026-03-05
Ace Bailey,UTA,WAS,UTA vs. WAS,PTS,17.5,2026-03-05
Kyle Filipowski,UTA,WAS,UTA vs. WAS,PTS,14.5,2026-03-05
Trae Young,WAS,UTA,WAS vs. UTA,PTS,12.5,2026-03-05
Will Riley,WAS,UTA,WAS vs. UTA,PTS,16.5,2026-03-05
Bilal Coulibaly,WAS,UTA,WAS vs. UTA,PTS,12.5,2026-03-05
Bub Carrington,WAS,UTA,WAS vs. UTA,PTS,10.5,2026-03-05
Tre Johnson,WAS,UTA,WAS vs. UTA,PTS,12.5,2026-03-05
Justin Champagnie,WAS,UTA,WAS vs. UTA,PTS,10.5,2026-03-05
Cody Williams,UTA,WAS,UTA vs. WAS,PTS,7.5,2026-03-05
Bam Adebayo,MIA,BKN,MIA vs. BKN,PTS,20.5,2026-03-05
Michael Porter,BKN,MIA,BKN vs. MIA,PTS,22.5,2026-03-05
Tyler Herro,MIA,BKN,MIA vs. BKN,PTS,21.5,2026-03-05
Andrew Wiggins,MIA,BKN,MIA vs. BKN,PTS,15.5,2026-03-05
Jaime Jaquez,MIA,BKN,MIA vs. BKN,PTS,14.5,2026-03-05
Danny Wolf,BKN,MIA,BKN vs. MIA,PTS,10.5,2026-03-05
Pelle Larsson,MIA,BKN,MIA vs. BKN,PTS,12.5,2026-03-05
Noah Clowney,BKN,MIA,BKN vs. MIA,PTS,11.5,2026-03-05
Nolan Traore,BKN,MIA,BKN vs. MIA,PTS,10.5,2026-03-05
Nic Claxton,BKN,MIA,BKN vs. MIA,PTS,10.5,2026-03-05
Davion Mitchell,MIA,BKN,MIA vs. BKN,PTS,6.5,2026-03-05
Kevin Durant,HOU,GSW,HOU vs. GSW,PTS,25.5,2026-03-05
Alperen Sengun,HOU,GSW,HOU vs. GSW,PTS,19.5,2026-03-05
Amen Thompson,HOU,GSW,HOU vs. GSW,PTS,15.5,2026-03-05
Brandin Podziemski,GSW,HOU,GSW vs. HOU,PTS,15.5,2026-03-05
De'Anthony Melton,GSW,HOU,GSW vs. HOU,PTS,15.5,2026-03-05
Jabari Smith,HOU,GSW,HOU vs. GSW,PTS,13.5,2026-03-05
Tari Eason,HOU,GSW,HOU vs. GSW,PTS,12.5,2026-03-05
Gui Santos,GSW,HOU,GSW vs. HOU,PTS,12.5,2026-03-05
Reed Sheppard,HOU,GSW,HOU vs. GSW,PTS,13.5,2026-03-05
Al Horford,GSW,HOU,GSW vs. HOU,PTS,10.5,2026-03-05
Draymond Green,GSW,HOU,GSW vs. HOU,PTS,8.5,2026-03-05
Pat Spencer,GSW,HOU,GSW vs. HOU,PTS,9.5,2026-03-05
Dorian Finney-Smith,HOU,GSW,HOU vs. GSW,PTS,3.5,2026-03-05
Cade Cunningham,DET,SAS,DET vs. SAS,PTS,26.5,2026-03-05
Victor Wembanyama,SAS,DET,SAS vs. DET,PTS,23.5,2026-03-05
De'Aaron Fox,SAS,DET,SAS vs. DET,PTS,16.5,2026-03-05
Jalen Duren,DET,SAS,DET vs. SAS,PTS,17.5,2026-03-05
Stephon Castle,SAS,DET,SAS vs. DET,PTS,15.5,2026-03-05
Devin Vassell,SAS,DET,SAS vs. DET,PTS,14.5,2026-03-05
Dylan Harper,SAS,DET,SAS vs. DET,PTS,10.5,2026-03-05
Tobias Harris,DET,SAS,DET vs. SAS,PTS,13.5,2026-03-05
Duncan Robinson,DET,SAS,DET vs. SAS,PTS,11.5,2026-03-05
Keldon Johnson,SAS,DET,SAS vs. DET,PTS,11.5,2026-03-05
Julian Champagnie,SAS,DET,SAS vs. DET,PTS,9.5,2026-03-05
Ausar Thompson,DET,SAS,DET vs. SAS,PTS,10.0,2026-03-05
Isaiah Stewart,DET,SAS,DET vs. SAS,PTS,8.5,2026-03-05
Ronald Holland,DET,SAS,DET vs. SAS,PTS,7.5,2026-03-05
Caris LeVert,DET,SAS,DET vs. SAS,PTS,4.5,2026-03-05
Luke Kornet,SAS,DET,SAS vs. DET,PTS,9.5,2026-03-05
Anthony Edwards,MIN,TOR,MIN vs. TOR,PTS,29.5,2026-03-05
Brandon Ingram,TOR,MIN,TOR vs. MIN,PTS,21.5,2026-03-05
Immanuel Quickley,TOR,MIN,TOR vs. MIN,PTS,17.5,2026-03-05
Julius Randle,MIN,TOR,MIN vs. TOR,PTS,19.5,2026-03-05
RJ Barrett,TOR,MIN,TOR vs. MIN,PTS,17.5,2026-03-05
Scottie Barnes,TOR,MIN,TOR vs. MIN,PTS,17.5,2026-03-05
Jaden McDaniels,MIN,TOR,MIN vs. TOR,PTS,13.5,2026-03-05
Ayo Dosunmu,MIN,TOR,MIN vs. TOR,PTS,10.5,2026-03-05
Donte DiVincenzo,MIN,TOR,MIN vs. TOR,PTS,11.5,2026-03-05
Naz Reid,MIN,TOR,MIN vs. TOR,PTS,11.5,2026-03-05
Sandro Mamukelashvili,TOR,MIN,TOR vs. MIN,PTS,4.5,2026-03-05
Rudy Gobert,MIN,TOR,MIN vs. TOR,PTS,9.5,2026-03-05
Jakob Poeltl,TOR,MIN,TOR vs. MIN,PTS,9.5,2026-03-05
Jamal Shead,TOR,MIN,TOR vs. MIN,PTS,4.5,2026-03-05
Devin Booker,PHX,CHI,PHX vs. CHI,PTS,24.5,2026-03-05
Grayson Allen,PHX,CHI,PHX vs. CHI,PTS,17.5,2026-03-05
Jalen Green,PHX,CHI,PHX vs. CHI,PTS,18.5,2026-03-05
Josh Giddey,CHI,PHX,CHI vs. PHX,PTS,16.5,2026-03-05
Matas Buzelis,CHI,PHX,CHI vs. PHX,PTS,16.5,2026-03-05
Collin Gillespie,PHX,CHI,PHX vs. CHI,PTS,14.5,2026-03-05
Tre Jones,CHI,PHX,CHI vs. PHX,PTS,14.5,2026-03-05
Guerschon Yabusele,CHI,PHX,CHI vs. PHX,PTS,10.5,2026-03-05
Isaac Okoro,CHI,PHX,CHI vs. PHX,PTS,11.5,2026-03-05
Royce O'Neale,PHX,CHI,PHX vs. CHI,PTS,9.5,2026-03-05
Oso Ighodaro,PHX,CHI,PHX vs. CHI,PTS,8.5,2026-03-05
Ryan Dunn,PHX,CHI,PHX vs. CHI,PTS,6.5,2026-03-05
Luka Dončić,LAL,DEN,LAL vs. DEN,PTS,30.5,2026-03-05
Nikola Jokić,DEN,LAL,DEN vs. LAL,PTS,30.5,2026-03-05
Jamal Murray,DEN,LAL,DEN vs. LAL,PTS,25.5,2026-03-05
LeBron James,LAL,DEN,LAL vs. DEN,PTS,19.5,2026-03-05
Austin Reaves,LAL,DEN,LAL vs. DEN,PTS,18.5,2026-03-05
Christian Braun,DEN,LAL,DEN vs. LAL,PTS,12.5,2026-03-05
Tim Hardaway,DEN,LAL,DEN vs. LAL,PTS,12.5,2026-03-05
